Name,Category,Price (KES),Original Price (KES),Discount %,Stock,Description,Featured,Approved,Rating,Reviews,Image 1,Image 2,Image 3
25W TYPE C ADAPTER + CABLE,Accessories,1000,1000,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163722/adit-products/25W_TYPE_C_ADAPTER_CABLE.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163727/adit-products/45W_TYPE_C_ADAPTER_CABLE.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175744/adit-products/HP_TYPE_C_45W_ADAPTER.jpg
A3 LAMINATOR,Accessories,6500,6500,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338537/adit_products/Office-point-Laminator-A3-2.webp,,
CMOS BATTERY,Accessories,300,300,0,59,,No,Yes,0,0,,,
DESKTOP SPEAKER S-999,Accessories,900,900,0,1,,No,Yes,0,0,,,
ESET HOME SECURITY ESSENTIAL,Accessories,4000,4000,0,3,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175755/adit-products/ESET_HOME_SECURITY_ESSENTIAL.jpg,,
EXTENSION 5 WAY LW EXT-755,Accessories,2300,2300,0,3,,No,Yes,0,0,,,
EXTENSION 6 WAY LW EXT-756,Accessories,2500,2500,0,2,,No,Yes,0,0,,,
FLEXIBLE KEYBOARD,Accessories,1200,1200,0,2,,No,Yes,0,0,,,
FLOWER CABLE EX UK,Accessories,500,500,0,24,,No,Yes,0,0,,,
FOAM CLEANING AGENT,Accessories,650,650,0,4,,No,Yes,0,0,,,
FOLDING DESKTOP PHONE STAND,Accessories,500,500,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155847/adit-products/FOLDING_DESKTOP_PHONE_STAND.jpg,,
HP BIG PIN ADAPTER 90W/19V,Accessories,1200,1200,0,6,,No,Yes,0,0,,,
HP BLUE PIN ADAPTER 65W/19.5V,Accessories,1200,1200,0,10,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175764/adit-products/HP_TYPE_C_65W_ADAPTER.jpg,,
HP GAMING MOUSE,Accessories,700,700,0,5,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155835/adit-products/HP_BROWN_BOX_MOUSE.jpg,,
HP SPEAKERS 12W,Accessories,2200,2200,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163746/adit-products/HP_SPEAKERS_12W.webp,,
HP SPEAKERS 6W,Accessories,1500,1500,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163746/adit-products/HP_SPEAKERS_12W.webp,,
HP WIRED KEYBOARD K1600,Accessories,700,700,0,8,,No,Yes,0,0,/images/HP WIRED KEYBOARD K1600.jpg,,
HP WIRED MOUSE,Accessories,450,450,0,12,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155835/adit-products/HP_BROWN_BOX_MOUSE.jpg,,
HP WIRELESS MOUSE,Accessories,600,600,0,5,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155835/adit-products/HP_BROWN_BOX_MOUSE.jpg,,
HP WIRELESS RECHARGEABLE MOUSE,Accessories,1200,1200,0,3,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155835/adit-products/HP_BROWN_BOX_MOUSE.jpg,,
HP YELLOW PIN 65W ADAPTER,Accessories,1200,1200,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175764/adit-products/HP_TYPE_C_65W_ADAPTER.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163723/adit-products/DELL_SMALL_PIN_ADAPTER_45W19.5.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175744/adit-products/HP_TYPE_C_45W_ADAPTER.jpg
JBL MZ-218ST HEADPHONES,Accessories,900,900,0,2,,No,Yes,0,0,,,
LAPTOP STAND,Accessories,900,900,0,1,,No,Yes,0,0,,,
LENOVO SMALL PIN ADAPTER,Accessories,1200,1200,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163723/adit-products/DELL_SMALL_PIN_ADAPTER_45W19.5.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163722/adit-products/LENOVO_BIG_PIN.jpg,
LENOVO USB YELLOW PIN 65W ADAPTER,Accessories,1200,1200,0,1,,No,Yes,0,0,,,
MERCURY UPS MAVERICK 850,Accessories,5400,5400,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180395/adit-products/MERCURY_UPS_MAVERICK_850.webp,,
NOTEBOOK COMPUTER LOCK,Accessories,1700,1700,0,2,,No,Yes,0,0,,,
OPPO WIRELESS HEADPHONES,Accessories,2000,2000,0,1,,No,Yes,0,0,,,
ORAIMO EARPHONES,Accessories,300,300,0,3,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155842/adit-products/HP_EARPHONES.jpg,,
ORAIMO I12 WIRELESS HEADSET,Accessories,2500,2500,0,1,,No,Yes,0,0,,,
PAPERLINE REAM PAPER,Accessories,650,650,0,1,,No,Yes,0,0,,,
PICK UP RUBBER L3100,Accessories,1500,1500,0,1,,No,Yes,0,0,,,
PICK UP RUBBER L382,Accessories,1500,1500,0,5,,No,Yes,0,0,,,
POE ADAPTER 24V,Accessories,1000,1000,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163719/adit-products/POE_ADAPTER_48V.jpg,,
POWERBANK 10000MAH,Accessories,2300,2300,0,1,,No,Yes,0,0,,,
PRINT HEAD CABLE EPSON L382,Accessories,1500,1500,0,4,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163738/adit-products/PRINT_HEAD_CABLE_EPSON_L382.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163736/adit-products/PRINT_HEAD_CABLE_L3100.webp,
PRINT HEAD CABLE L3100 SERIES,Accessories,1500,1500,0,5,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163736/adit-products/PRINT_HEAD_CABLE_L3100.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163738/adit-products/PRINT_HEAD_CABLE_EPSON_L382.webp,
PROSTAR UPS 650WATTS,Accessories,7700,7700,0,1,,No,Yes,0,0,,,
SAMSUNG S10+ GALAXY CHARGER,Accessories,700,700,0,3,,No,Yes,0,0,,,
SAMSUNG S8 TYPE-C CHARGER,Accessories,700,700,0,3,,No,Yes,0,0,,,
SELFIE STICK F210S,Accessories,850,850,0,1,,No,Yes,0,0,,,
THERMAL PASTE,Accessories,500,500,0,3,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155834/adit-products/THERMAL_PASTE_SYRINGE.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755155834/adit-products/THERMAL_ROLL.jpg,
TOSHIBA SMALL PIN ADAPTER,Accessories,1400,1400,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163723/adit-products/DELL_SMALL_PIN_ADAPTER_45W19.5.webp,,
UNIVERSAL ADAPTER SMALL PIN,Accessories,1200,1200,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755163723/adit-products/DELL_SMALL_PIN_ADAPTER_45W19.5.webp,,
USB HUB 4 PORT,Accessories,1200,1200,0,2,,No,Yes,0,0,,,
